year,gear,rfmo,species,product,property,value
2012,BB,W,ALB,lc,v,23648.1
2012,BB,W,ALB,lc,cv,81633241.2
2012,BB,W,ALB,lc,sv,212758618.5
2012,BB,W,ALB,cb,v,0
2012,BB,W,ALB,cb,cv,0
2012,BB,W,ALB,cb,sv,1780701.93
2012,BB,W,ALB,d,v,10134.9
2012,BB,W,ALB,d,cv,34985674.8
2012,BB,W,ALB,d,sv,30404700
2012,BB,W,ALB,fs,v,0
2012,BB,W,ALB,fs,cv,0
2012,BB,W,ALB,fs,sv,0
2012,BB,W,ALB,zs,v,0
2012,BB,W,ALB,zs,cv,0
2012,BB,W,ALB,zs,sv,0
2012,BB,W,ALB,r,v,0
2012,BB,W,ALB,r,cv,0
2012,BB,W,ALB,r,sv,0
2012,BB,W,BET,lc,v,2752.4
2012,BB,W,BET,lc,cv,5318324.9
2012,BB,W,BET,lc,sv,21880773.15
2012,BB,W,BET,cb,v,0
2012,BB,W,BET,cb,cv,0
2012,BB,W,BET,cb,sv,207255.72
2012,BB,W,BET,d,v,1179.6
2012,BB,W,BET,d,cv,2279282.1
2012,BB,W,BET,d,sv,4718400
2012,BB,W,BET,fs,v,0
2012,BB,W,BET,fs,cv,0
2012,BB,W,BET,fs,sv,0
2012,BB,W,BET,zs,v,0
2012,BB,W,BET,zs,cv,0
2012,BB,W,BET,zs,sv,0
2012,BB,W,BET,r,v,0
2012,BB,W,BET,r,cv,0
2012,BB,W,BET,r,sv,0
2012,BB,W,BFT,lc,v,0
2012,BB,W,BFT,lc,cv,0
2012,BB,W,BFT,lc,sv,0
2012,BB,W,BFT,cb,v,0
2012,BB,W,BFT,cb,cv,0
2012,BB,W,BFT,cb,sv,0
2012,BB,W,BFT,d,v,0
2012,BB,W,BFT,d,cv,0
2012,BB,W,BFT,d,sv,0
2012,BB,W,BFT,fs,v,0
2012,BB,W,BFT,fs,cv,0
2012,BB,W,BFT,fs,sv,0
2012,BB,W,BFT,zs,v,0
2012,BB,W,BFT,zs,cv,0
2012,BB,W,BFT,zs,sv,0
2012,BB,W,BFT,r,v,0
2012,BB,W,BFT,r,cv,0
2012,BB,W,BFT,r,sv,0
2012,BB,W,PBF,lc,v,0
2012,BB,W,PBF,lc,cv,0
2012,BB,W,PBF,lc,sv,0
2012,BB,W,PBF,cb,v,0
2012,BB,W,PBF,cb,cv,0
2012,BB,W,PBF,cb,sv,0
2012,BB,W,PBF,d,v,0
2012,BB,W,PBF,d,cv,0
2012,BB,W,PBF,d,sv,0
2012,BB,W,PBF,fs,v,113
2012,BB,W,PBF,fs,cv,4088781.609
2012,BB,W,PBF,fs,sv,6076343.292
