year,gear,ocean,species,product,property,value
2012,BBPL,WCPO,ALB,lc,volume,23648.1
2012,BBPL,WCPO,ALB,lc,catch_value,81633241.2
2012,BBPL,WCPO,ALB,lc,sales_value,212758618.5
2012,BBPL,WCPO,ALB,dom,volume,10134.9
2012,BBPL,WCPO,ALB,dom,catch_value,34985674.8
2012,BBPL,WCPO,ALB,dom,sales_value,30404700
2012,BBPL,WCPO,BET,lc,volume,2752.4
2012,BBPL,WCPO,BET,lc,catch_value,5318324.9
2012,BBPL,WCPO,BET,lc,sales_value,21880773.15
2012,BBPL,WCPO,BET,dom,volume,1179.6
2012,BBPL,WCPO,BET,dom,catch_value,2279282.1
2012,BBPL,WCPO,BET,dom,sales_value,4718400
2012,BBPL,WCPO,PBF,fsh_sash,volume,113
2012,BBPL,WCPO,PBF,fsh_sash,catch_value,4088781.609
2012,BBPL,WCPO,PBF,fsh_sash,sales_value,6076343.292
2012,BBPL,WCPO,SKJ,lc,volume,119352.1
2012,BBPL,WCPO,SKJ,lc,catch_value,186724572.7
2012,BBPL,WCPO,SKJ,lc,sales_value,742378547.3
2012,BBPL,WCPO,SKJ,dom,volume,51150.9
2012,BBPL,WCPO,SKJ,dom,catch_value,80024816.88
2012,BBPL,WCPO,SKJ,dom,sales_value,179028150
2012,BBPL,WCPO,YFT,lc,volume,24259.9
2012,BBPL,WCPO,YFT,lc,catch_value,54875893.8
2012,BBPL,WCPO,YFT,lc,sales_value,236605044.9
2012,BBPL,WCPO,YFT,dom,volume,10397.1
2012,BBPL,WCPO,YFT,dom,catch_value,23518240.2
2012,BBPL,WCPO,YFT,dom,sales_value,57184050
2012,GN,WCPO,ALB,lc,volume,23.4
2012,GN,WCPO,ALB,lc,catch_value,80776.8
2012,GN,WCPO,ALB,lc,sales_value,210526.4978
2012,GN,WCPO,ALB,dom,volume,2.6
2012,GN,WCPO,ALB,dom,catch_value,8975.2
2012,GN,WCPO,ALB,dom,sales_value,7800
2012,GN,WCPO,BET,lc,volume,328.5
2012,GN,WCPO,BET,lc,catch_value,634744.125
2012,GN,WCPO,BET,lc,sales_value,2611478.702
2012,GN,WCPO,BET,dom,volume,36.5
2012,GN,WCPO,BET,dom,catch_value,70527.125
2012,GN,WCPO,BET,dom,sales_value,146000
2012,GN,WCPO,SKJ,lc,volume,18983.7
2012,GN,WCPO,SKJ,lc,catch_value,29699714.3
2012,GN,WCPO,SKJ,lc,sales_value,118079963.6
2012,GN,WCPO,SKJ,dom,volume,2109.3
2012,GN,WCPO,SKJ,dom,catch_value,3299968.255
2012,GN,WCPO,SKJ,dom,sales_value,7382550
2012,GN,WCPO,YFT,lc,volume,927
2012,GN,WCPO,YFT,lc,catch_value,2096874
2012,GN,WCPO,YFT,lc,sales_value,9040963.756
2012,GN,WCPO,YFT,dom,volume,103
2012,GN,WCPO,YFT,dom,catch_value,232986
2012,GN,WCPO,YFT,dom,sales_value,566500
2012,HL,WCPO,ALB,dom,volume,378
2012,HL,WCPO,ALB,dom,catch_value,1304856
2012,HL,WCPO,ALB,dom,sales_value,1134000
2012,HL,WCPO,BET,fsh_sash,volume,3037
2012,HL,WCPO,BET,fsh_sash,catch_value,19027423.82
2012,HL,WCPO,BET,fsh_sash,sales_value,67085431.88
