county,stname,ctyname,popestimate2010,popestimate2011,popestimate2012,popestimate2013,popestimate2014,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,countytype
0,Alabama,Alabama,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,4903185,0
1,Alabama,Autauga County,54754,55208,54936,54713,54876,54838,55242,55443,55601,55869,1
3,Alabama,Baldwin County,183111,186540,190143,194886,199189,202995,207712,212619,218022,223234,1
5,Alabama,Barbour County,27330,27350,27174,26944,26758,26294,25819,25158,24881,24686,2
7,Alabama,Bibb County,22872,22747,22664,22516,22541,22562,22576,22555,22400,22394,2
9,Alabama,Blount County,57373,57554,57570,57611,57521,57522,57517,57827,57840,57826,2
11,Alabama,Bullock County,10878,10677,10607,10551,10665,10400,10381,10176,10138,10101,2
13,Alabama,Butler County,20942,20878,20687,20374,20343,20176,20029,19898,19680,19448,2
15,Alabama,Calhoun County,118477,117797,117257,116541,115995,115536,115018,114664,114277,113605,1
17,Alabama,Chambers County,34122,34030,34104,34143,33980,34007,33771,33758,33615,33254,1
19,Alabama,Cherokee County,25974,25994,25963,26025,25902,25739,25776,25815,26032,26196,2
21,Alabama,Chilton County,43653,43687,43582,43634,43769,43717,43896,44117,44153,44428,2
23,Alabama,Choctaw County,13849,13607,13561,13396,13317,13233,13049,12935,12841,12589,3
25,Alabama,Clarke County,25765,25582,25154,25122,24865,24703,24349,24097,23920,23622,2
27,Alabama,Clay County,13897,13686,13432,13404,13440,13413,13393,13367,13275,13235,3
29,Alabama,Cleburne County,15004,14928,14889,14976,15025,14917,14853,14906,14987,14910,3
31,Alabama,Coffee County,50205,50435,51136,50677,50655,50952,51145,51777,51909,52342,1
33,Alabama,Colbert County,54525,54535,54572,54533,54468,54370,54367,54509,54762,55241,1
35,Alabama,Conecuh County,13234,13192,13044,12911,12679,12680,12501,12435,12277,12067,2
37,Alabama,Coosa County,11782,11487,11347,11256,11038,10938,10826,10757,10715,10663,3
39,Alabama,Covington County,37812,38019,37804,37812,37756,37551,37382,37078,36986,37049,2
41,Alabama,Crenshaw County,13874,13899,13921,13854,13859,13857,13922,13861,13824,13772,3
43,Alabama,Cullman County,80454,80401,80273,80688,81067,81764,82456,82836,83442,83768,2
45,Alabama,Dale County,50390,50112,50284,49772,49417,49349,49301,49254,48956,49172,2
47,Alabama,Dallas County,43860,43256,42795,41983,41562,40948,40092,39235,38310,37196,1
49,Alabama,DeKalb County,71159,71352,70937,70911,70999,71112,71101,71404,71385,71513,2
51,Alabama,Elmore County,79577,80009,80216,80569,80568,80924,81263,81416,81887,81209,2
53,Alabama,Escambia County,38344,38201,38023,37763,37738,37665,37488,36999,36748,36633,2
55,Alabama,Etowah County,104455,104358,104273,103883,103407,103003,102849,102937,102501,102268,1
