year,gear,rfmo,species,product,property,value
2012,BB,W,ALB,lc,v,23648.1
2012,BB,W,ALB,lc,dv,81633241.2
2012,BB,W,ALB,lc,ev,214539320.4
2012,BB,W,ALB,d,v,10134.9
2012,BB,W,ALB,d,dv,34985674.8
2012,BB,W,ALB,d,ev,30404700
2012,BB,W,ALB,fs,v,0
2012,BB,W,ALB,fs,dv,0
2012,BB,W,ALB,fs,ev,0
2012,BB,W,ALB,zs,v,0
2012,BB,W,ALB,zs,dv,0
2012,BB,W,ALB,zs,ev,0
2012,BB,W,ALB,r,v,0
2012,BB,W,ALB,r,dv,0
2012,BB,W,ALB,r,ev,0
2012,BB,W,BET,lc,v,2752.4
2012,BB,W,BET,lc,dv,5318324.9
2012,BB,W,BET,lc,ev,22088028.87
2012,BB,W,BET,d,v,1179.6
2012,BB,W,BET,d,dv,2279282.1
2012,BB,W,BET,d,ev,4718400
2012,BB,W,BET,fs,v,0
2012,BB,W,BET,fs,dv,0
2012,BB,W,BET,fs,ev,0
2012,BB,W,BET,zs,v,0
2012,BB,W,BET,zs,dv,0
2012,BB,W,BET,zs,ev,0
2012,BB,W,BET,r,v,0
2012,BB,W,BET,r,dv,0
2012,BB,W,BET,r,ev,0
2012,BB,W,BFT,lc,v,0
2012,BB,W,BFT,lc,dv,0
2012,BB,W,BFT,lc,ev,0
2012,BB,W,BFT,d,v,0
2012,BB,W,BFT,d,dv,0
2012,BB,W,BFT,d,ev,0
2012,BB,W,BFT,fs,v,0
2012,BB,W,BFT,fs,dv,0
2012,BB,W,BFT,fs,ev,0
2012,BB,W,BFT,zs,v,0
2012,BB,W,BFT,zs,dv,0
2012,BB,W,BFT,zs,ev,0
2012,BB,W,BFT,r,v,0
2012,BB,W,BFT,r,dv,0
2012,BB,W,BFT,r,ev,0
2012,BB,W,PBF,lc,v,0
2012,BB,W,PBF,lc,dv,0
2012,BB,W,PBF,lc,ev,0
2012,BB,W,PBF,d,v,0
2012,BB,W,PBF,d,dv,0
2012,BB,W,PBF,d,ev,0
2012,BB,W,PBF,fs,v,113
2012,BB,W,PBF,fs,dv,4088781.609
2012,BB,W,PBF,fs,ev,6076343.292
2012,BB,W,PBF,zs,v,0
2012,BB,W,PBF,zs,dv,0
2012,BB,W,PBF,zs,ev,0
2012,BB,W,PBF,r,v,0
2012,BB,W,PBF,r,dv,0
2012,BB,W,PBF,r,ev,0
2012,BB,W,SBF,lc,v,0
2012,BB,W,SBF,lc,dv,0
2012,BB,W,SBF,lc,ev,0
2012,BB,W,SBF,d,v,0
2012,BB,W,SBF,d,dv,0
2012,BB,W,SBF,d,ev,0
2012,BB,W,SBF,fs,v,0
2012,BB,W,SBF,fs,dv,0
2012,BB,W,SBF,fs,ev,0
2012,BB,W,SBF,zs,v,0
2012,BB,W,SBF,zs,dv,0
2012,BB,W,SBF,zs,ev,0
2012,BB,W,SBF,r,v,0
2012,BB,W,SBF,r,dv,0
2012,BB,W,SBF,r,ev,0
2012,BB,W,SKJ,lc,v,119352.1
2012,BB,W,SKJ,lc,dv,186724572.7
2012,BB,W,SKJ,lc,ev,751365760.4
2012,BB,W,SKJ,d,v,51150.9
2012,BB,W,SKJ,d,dv,80024816.88
2012,BB,W,SKJ,d,ev,179028150
2012,BB,W,SKJ,fs,v,0
2012,BB,W,SKJ,fs,dv,0
2012,BB,W,SKJ,fs,ev,0
2012,BB,W,SKJ,zs,v,0
2012,BB,W,SKJ,zs,dv,0
2012,BB,W,SKJ,zs,ev,0
2012,BB,W,SKJ,r,v,0
2012,BB,W,SKJ,r,dv,0
2012,BB,W,SKJ,r,ev,0
2012,BB,W,YFT,lc,v,24259.9
2012,BB,W,YFT,lc,dv,54875893.8
2012,BB,W,YFT,lc,ev,238431815.4
2012,BB,W,YFT,d,v,10397.1
2012,BB,W,YFT,d,dv,23518240.2
2012,BB,W,YFT,d,ev,57184050
2012,BB,W,YFT,fs,v,0
2012,BB,W,YFT,fs,dv,0
2012,BB,W,YFT,fs,ev,0
2012,BB,W,YFT,zs,v,0
2012,BB,W,YFT,zs,dv,0
2012,BB,W,YFT,zs,ev,0
2012,BB,W,YFT,r,v,0
2012,BB,W,YFT,r,dv,0
2012,BB,W,YFT,r,ev,0
2012,GN,W,ALB,lc,v,23.4
2012,GN,W,ALB,lc,dv,80776.8
2012,GN,W,ALB,lc,ev,212288.5178
2012,GN,W,ALB,d,v,2.6
2012,GN,W,ALB,d,dv,8975.2
2012,GN,W,ALB,d,ev,7800
2012,GN,W,ALB,fs,v,0
2012,GN,W,ALB,fs,dv,0
2012,GN,W,ALB,fs,ev,0
2012,GN,W,ALB,zs,v,0
2012,GN,W,ALB,zs,dv,0
2012,GN,W,ALB,zs,ev,0
2012,GN,W,ALB,r,v,0
2012,GN,W,ALB,r,dv,0
2012,GN,W,ALB,r,ev,0
2012,GN,W,BET,lc,v,328.5
2012,GN,W,BET,lc,dv,634744.125
2012,GN,W,BET,lc,ev,2636214.752
2012,GN,W,BET,d,v,36.5
2012,GN,W,BET,d,dv,70527.125
2012,GN,W,BET,d,ev,146000
2012,GN,W,BET,fs,v,0
2012,GN,W,BET,fs,dv,0
2012,GN,W,BET,fs,ev,0
2012,GN,W,BET,zs,v,0
2012,GN,W,BET,zs,dv,0
2012,GN,W,BET,zs,ev,0
2012,GN,W,BET,r,v,0
2012,GN,W,BET,r,dv,0
2012,GN,W,BET,r,ev,0
2012,GN,W,BFT,lc,v,0
2012,GN,W,BFT,lc,dv,0
2012,GN,W,BFT,lc,ev,0
2012,GN,W,BFT,d,v,0
2012,GN,W,BFT,d,dv,0
2012,GN,W,BFT,d,ev,0
2012,GN,W,BFT,fs,v,0
2012,GN,W,BFT,fs,dv,0
2012,GN,W,BFT,fs,ev,0
2012,GN,W,BFT,zs,v,0
2012,GN,W,BFT,zs,dv,0
2012,GN,W,BFT,zs,ev,0
2012,GN,W,BFT,r,v,0
2012,GN,W,BFT,r,dv,0
2012,GN,W,BFT,r,ev,0
2012,GN,W,PBF,lc,v,0
2012,GN,W,PBF,lc,dv,0
2012,GN,W,PBF,lc,ev,0
2012,GN,W,PBF,d,v,0
2012,GN,W,PBF,d,dv,0
2012,GN,W,PBF,d,ev,0
2012,GN,W,PBF,fs,v,0
2012,GN,W,PBF,fs,dv,0
2012,GN,W,PBF,fs,ev,0
2012,GN,W,PBF,zs,v,0
2012,GN,W,PBF,zs,dv,0
2012,GN,W,PBF,zs,ev,0
2012,GN,W,PBF,r,v,0
2012,GN,W,PBF,r,dv,0
2012,GN,W,PBF,r,ev,0
2012,GN,W,SBF,lc,v,0
2012,GN,W,SBF,lc,dv,0
2012,GN,W,SBF,lc,ev,0
