year,gear,ocean,species,product,volume,catch_value,sales_value
2012,BBPL,WCPO,ALB,lc,23648.1,81633241.2,212758618.5
2012,BBPL,WCPO,ALB,dom,10134.9,34985674.8,30404700
2012,BBPL,WCPO,BET,lc,2752.4,5318324.9,21880773.15
2012,BBPL,WCPO,BET,dom,1179.6,2279282.1,4718400
2012,BBPL,WCPO,PBF,fsh_sash,113,4088781.609,6076343.292
2012,BBPL,WCPO,SKJ,lc,119352.1,186724572.7,742378547.3
2012,BBPL,WCPO,SKJ,dom,51150.9,80024816.88,179028150
2012,BBPL,WCPO,YFT,lc,24259.9,54875893.8,236605044.9
2012,BBPL,WCPO,YFT,dom,10397.1,23518240.2,57184050
2012,GN,WCPO,ALB,lc,23.4,80776.8,210526.4978
2012,GN,WCPO,ALB,dom,2.6,8975.2,7800
2012,GN,WCPO,BET,lc,328.5,634744.125,2611478.702
2012,GN,WCPO,BET,dom,36.5,70527.125,146000
2012,GN,WCPO,SKJ,lc,18983.7,29699714.3,118079963.6
2012,GN,WCPO,SKJ,dom,2109.3,3299968.255,7382550
2012,GN,WCPO,YFT,lc,927,2096874,9040963.756
2012,GN,WCPO,YFT,dom,103,232986,566500
2012,HL,WCPO,ALB,dom,378,1304856,1134000
2012,HL,WCPO,BET,fsh_sash,3037,19027423.82,67085431.88
2012,HL,WCPO,SKJ,dom,11051,17289123.97,38678500
2012,HL,WCPO,YFT,fzn_sash,37499,220094836,687006951.1
2012,LL,WCPO,ALB,lc,80337.6,277325395.2,722786050
2012,LL,WCPO,ALB,fzn_sash,20084.4,76880999.84,347260804.2
2012,LL,WCPO,BET,fsh_sash,39710,248791241.4,877169081.3
2012,LL,WCPO,BET,fzn_sash,39710,430981302.3,686588921.4
2012,LL,WCPO,PBF,fzn_sash,210,5656867.749,15575592.72
2012,LL,WCPO,SKJ,lc,1973,3086728.947,12272200.27
2012,LL,WCPO,YFT,fsh_sash,39816,195909697.8,748759788
2012,LL,WCPO,YFT,fzn_sash,39816,233694124.9,729455952.5
2012,Other,WCPO,ALB,lc,425,1467100,3823665.024
2012,Other,WCPO,BET,fsh_sash,8762,54895715.36,193547103.8
2012,Other,WCPO,PBF,fsh_sash,2715,98239310.34,145993557.9
2012,Other,WCPO,SKJ,dom,122629,193014372.4,429201500
2012,Other,WCPO,YFT,fzn_sash,62127,364645240.5,1138208508
2012,PS,WCPO,BET,lc,57234.4,110591169.4,454996702
2012,PS,WCPO,BET,fzn_sash,14308.6,150030978.8,247396782.7
2012,PS,WCPO,PBF,fsh_sash,3883,140502114.9,208800362.9
2012,PS,WCPO,SKJ,lc,1392275,2191399141,8660049484
2012,PS,WCPO,YFT,lc,397738,899683356,3879109863
2012,TR,WCPO,ALB,lc,3575,12340900,32163770.5
2012,TR,WCPO,BET,fsh_sash,136.5,855200.3135,3015199.688
2012,TR,WCPO,BET,fzn_sash,136.5,1431253.135,2360095.386
2012,TR,WCPO,PBF,For ranching,570,7144380,30650581.21
2012,TR,WCPO,SKJ,lc,4364.5,6869592.251,27147500.29
2012,TR,WCPO,SKJ,dom,1870.5,2944110.965,6546750
2012,TR,WCPO,YFT,fsh_sash,1967.5,9680840.125,36999821.25
2012,TR,WCPO,YFT,fzn_sash,1967.5,11547950.34,36045925.92
2012,BBPL,EPO,SKJ,lc,303,476912.9229,1884681.542
2012,BBPL,EPO,YFT,lc,413,934206,4027959.041
2012,LL,EPO,ALB,lc,22525,77756300,202654246.3
2012,LL,EPO,BET,lc,6344.4,12295447.2,50436120.17
2012,LL,EPO,BET,fsh_sash,9516.6,59623438.12,210215746.1
2012,LL,EPO,BET,fzn_sash,15861,172142896.9,274237896.8
2012,LL,EPO,YFT,lc,2023.8,4577835.6,19737974.6
2012,LL,EPO,YFT,fsh_sash,3035.7,14936785.96,57087856.35
2012,LL,EPO,YFT,fzn_sash,5059.5,29695987.16,92693449.66
2012,Other,EPO,ALB,lc,563,1943476,5065231.549
2012,Other,EPO,ALB,dom,563,1943476,1689000
2012,Other,EPO,PBF,fsh_sash,38,1374988.506,2043372.081
2012,Other,EPO,SKJ,lc,103.9,163535.4874,646265.3868
2012,Other,EPO,SKJ,dom,935.1,1471819.387,3272850
2012,Other,EPO,YFT,lc,264,597168,2574772.85
2012,Other,EPO,YFT,dom,264,597168,1452000
2012,PS,EPO,BET,lc,75731,146766678,602039249.9
2012,PS,EPO,PBF,fzn_sash,4333.55,73011624.92,321417189.6
2012,PS,EPO,PBF,For ranching,2333.45,29247462.3,173070794.4
2012,PS,EPO,SKJ,lc,256504,403729611.8,1595473116
2012,PS,EPO,YFT,lc,198017,447914454,1931245437
2012,TR,EPO,ALB,lc,14970.6,51678511.2,134688375.5
2012,TR,EPO,ALB,dom,1663.4,5742056.8,4990200
2012,BBPL,WIO,BET,lc,179,358850.25,1422997.527
2012,BBPL,WIO,BET,dom,537,1076550.75,2148000
2012,BBPL,WIO,SKJ,lc,15343.5,24004675.92,95437660.84
2012,BBPL,WIO,SKJ,dom,46030.5,72014027.77,161106750
2012,BBPL,WIO,YFT,lc,3466,6419342.986,33803646.58
2012,BBPL,WIO,YFT,dom,10398,19258028.96,57189000
2012,GN,WIO,BET,lc,1192.8,2391265.8,9482410.337
2012,GN,WIO,BET,dom,298.2,597816.45,1192800
2012,GN,WIO,SKJ,lc,24241.6,37925620.09,150784475.5
2012,GN,WIO,SKJ,dom,6060.4,9481405.023,21211400
2012,GN,WIO,YFT,lc,38839.2,71933683.24,378795900.2
2012,GN,WIO,YFT,dom,9709.8,17983420.81,53403900
2012,HL,WIO,ALB,fsh_sash,187.85,881148.0146,2145383.513
2012,HL,WIO,ALB,fzn_sash,33.15,126894.7613,573166.0223
2012,HL,WIO,BET,fsh_sash,58.65,367454.2006,1295541.844
2012,HL,WIO,BET,fzn_sash,10.35,112330.8103,178952.2875
2012,HL,WIO,SKJ,fsh_sash,2088.45,10414709.52,23851616.7
2012,HL,WIO,SKJ,fzn_sash,368.55,559184.8431,6372257.542
2012,HL,WIO,YFT,fsh_sash,62310.95,281766041.6,1171788570
2012,HL,WIO,YFT,fzn_sash,10996.05,64539689.62,201455046.4
2012,LL,WIO,ALB,lc,7579.2,26762155.2,68188992.82
2012,LL,WIO,ALB,fzn_sash,1894.8,7253097.852,32761236.17
2012,LL,WIO,BET,fzn_sash,53652,582296873.1,927647162.2
2012,LL,WIO,SKJ,lc,1552,2428080.753,9653550.339
2012,LL,WIO,YFT,fzn_sash,23323,136890900,427293077.7
2012,Other,WIO,SKJ,lc,40,60690.25566,248802.8438
2012,Other,WIO,YFT,lc,80,148167.178,780234.1969
